Month,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
April-17,3479.0,CLERK-TYP 2,1.0,44923.0
April-17,1003.0,LIBRARIAN 3,1.0,71300.0
April-17,2583.0,LIBRARIAN 2,1.0,73003.0
April-17,3022.0,LIBRARIAN 2,1.0,72351.0
April-17,3254.0,MAINT MECH 1,1.0,62859.0
April-17,2116.0,LIBRARY ASST 1,1.0,55265.0
April-17,1639.0,CLERK 2,0.8,38729.0
April-17,2239.0,ADMIN CLK 1,1.0,52266.0
April-17,2565.0,CLERK 2,1.0,48848.0
April-17,1745.0,CLERK 2,0.65,31767.0
April-17,9234.0,LIBRARY ASST 1,0.6,27089.0
April-17,1567.0,CLERK 2,1.0,48848.0
April-17,3867.0,LIBRARIAN 2,0.6,41455.0
April-17,6256.0,LIBRARY ASST 1,0.65,31183.0
April-17,2426.0,ADMIN CLK 1,1.0,53705.0
April-17,1326.0,LIBRARIAN 2,1.0,73003.0
April-17,3674.0,LIB ASSOC DIR,1.0,94538.0
April-17,2322.0,LIBRARIAN 1-33,1.0,59265.0
April-17,9194.0,LIBRARY ASST 1,1.0,45149.0
April-17,3379.0,PROGRAM ASST 1,1.0,57199.0
April-17,3956.0,LIBRARIAN 2,1.0,69092.0
April-17,4088.0,LIBRARY ASST 1,1.0,46303.0
April-17,2797.0,CUSTODIAL WORKER 3,1.0,56071.0
April-17,2857.0,CLERK-TYP 2,0.7,33919.0
April-17,3925.0,LIBRARY ASST 1,1.0,52304.0
April 2017,,,,
April-17,3061.0,PROG ASST 1-32,1.0,53784.0
April-17,4015.0,LIBRARIAN 2,1.0,70396.0
April-17,3993.0,ADMIN CLK 1,0.7,36620.0
April-17,9124.0,LIBRARIAN 1-33 PT,0.8,43102.0
April-17,4117.0,CLERK-TYP 2,0.6,27739.0
April-17,3676.0,LIBRARIAN 1-33,1.0,57110.0
April-17,3639.0,LIBRARIAN 2,1.0,73003.0
April-17,3749.0,PROG ASST 1,1.0,56828.0
April-17,3257.0,PLAN DEVELOP DIR OF,1.0,148054.0
April-17,10235.0,COM DEV TECH 2,1.0,52332.0
April-17,1036.0,ADMIN CLK 1,1.0,52129.0
April-17,1558.0,GRANTS ADMIN 4,0.5,48266.0
April-17,10372.0,COM DEV SPEC 2-18,1.0,65222.0
April-17,1069.0,GRANTS ADMIN 2,1.0,79143.0
April-17,1005.0,WORD PROC OPR 2,1.0,51798.0
April-17,2156.0,GRAPHICS TECH,0.75,38356.0
April-17,10319.0,CLERK-TYPT 1-20 PT,0.6,21060.0
