Employee #,Filled Position Description,Filled FTE Percent,Current Salary
2990,PKG CASHIER,0.7," 	30,231 "
7920,PKG CASHIER,0.8," 	30,642 "
VACANT,VACANT,VACANT,VACANT
2198,PKG MAINT WKR 1,1," 	48,449 "
9077,PKG MAINT WKR 1,1," 	46,933 "
1702,PKG MAINT WKR 2,1," 	62,726 "
1427,PKG CASHIER,0.8," 	36,897 "
1463,ASST PKG UTIL MGR,1," 	92,737 "
2806,PKG EQUIP MECH,1," 	52,531 "
3001,PKG SERVICE WKR,1," 	55,286 "
2989,PKG CASHIER,0.75," 	32,390 "
4137,PKG CASHIER,0.55," 	25,828 "
3472,ENGINEER 4,1," 	94,686 "
2835,PKG CASHIER,0.8," 	35,556 "
2459,PKG CASHIER-16,1," 	46,960 "
2271,PKG MAINT WKR 1,1," 	57,309 "
3488,PKG CASHIER,0.7," 	31,111 "
3516,PKG SERVICE WKR,1," 	55,784 "
2620,PKG MAINT WKR 1,1," 	57,309 "
6342,PKG CASHIER,0.8," 	30,642 "
2683,PKG REVENUE SUPV,1," 	73,049 "
1682,PKG OPER ASST,1," 	66,170 "
1126,PKG REVENUE LDWKR,0.9," 	52,515 "
2808,PKG MAINT SUPV,1," 	73,049 "
2641,PKG TECH AIDE,1," 	60,511 "
VACANT,VACANT,VACANT,VACANT
3982,PKG REVENUE LDWKR,1," 	54,239 "
2517,PROGRAM ASST 1,1," 	55,567 "
2005,PKG CASHIER,0.6," 	28,176 "
2285,PKG CASHIER,0.5," 	22,851 "
2435,PKG OPER SUPV,1," 	83,826 "
VACANT,VACANT,VACANT,VACANT
1715,PKG REVENUE CLERK,1," 	49,189 "
3268,PKS GEN SUPV,1," 	75,578 "
3581,PKS MAINT WKR,1," 	54,239 "
3293,LANDSCAPE ARCHITECT3,1," 	80,737 "
3098,PKS EQUIP MECH 1,1," 	58,734 "
2790,PLUMBER,1," 	68,363 "
VACANT,VACANT,VACANT,VACANT
3413,PKS EQUIP MECH 1,1," 	63,296 "
1592,FORESTRY SPEC,1," 	68,202 "
3646,ARBORIST 1,1," 	55,683 "
3237,CITY FORESTER,1," 	91,163 "
3794,ARBORIST 1,1," 	52,531 "
VACANT,VACANT,VACANT,VACANT
1798,PKS MAINT WKR,1," 	57,309 "
3723,CARPENTER,1," 	66,880 "
5305,PKS MAINT WKR,1," 	48,449 "
2661,PKS MAINT WKR,1," 	56,797 "
2813,PUB WKS LEADWKR,1," 	61,885 "
3765,PKS MAINT WKR,1," 	55,262 "
2211,TREE TRIMMER FORE,1," 	70,008 "
5793,PKS MAINT WKR,1," 	46,933 "
3028,PROGRAM ASST 2,1," 	58,612 "
3299,PKS MAINT WKR,1," 	54,239 "
5784,CARPENTER,1," 	57,525 "
1290,ARBORIST 1,1," 	52,531 "
3362,HORTICULTURE SUPV,1," 	79,143 "
1630,PKS MAINT WKR,1," 	54,239 "
2604,PKS MAINT MECHANIC,1," 	66,226 "
3300,ARBORIST 1,1," 	54,107 "
7842,PROGRAM ASST 1,1," 	48,268 "
3621,SURVEYOR 2,1," 	75,578 "
3762,PKS MAINT WKR,1," 	56,797 "
2153,PKS EQUIP MECH 1,1," 	58,734 "
7810,ARBORIST 1,1," 	49,807 "
3338,PKS GEN SUPV,1," 	64,382 "
2023,CONSERV TECH,1," 	56,912 "
2616,ADMIN ASST,1," 	61,646 "
9556,GARDENER,1," 	46,933 "
3824,EQPT OPR 3,1," 	61,332 "
3635,ARBORIST 1,1," 	55,683 "
9175,CONS RESOURCE SUPV,1," 	62,507 "
1799,ARBORIST 2,1," 	60,227 "
3584,TREE TRIMMER FORE,1," 	70,008 "
1412,ARBORIST 2,1," 	61,332 "
1392,EQPT OPR 2,1," 	58,835 "
7831,ADMIN CLK 1,1," 	44,051 "
2371,GARDENER-LEAD,1," 	60,780 "
1811,PKS MAINT WKR,1," 	56,285 "
1967,ARBORIST 2,1," 	61,885 "
1838,ADMIN CLK 1,1," 	51,164 "
3097,PUB WKS LEADWKR,1," 	61,885 "
7814,ARBORIST 1,1," 	49,807 "
7811,ARBORIST 1,1," 	49,807 "
10522,PROGRAM ASST 1,1," 	45,543 "
9038,PKS MAINT WKR,1," 	46,933 "
3617,EQPT OPR 3,1," 	61,885 "
6437,RECR SERVS COORD,1," 	68,154 "
3211,EQPT OPR 3,1," 	61,332 "
1762,PROGRAM ASST 3,1," 	57,446 "
3615,PROGRAM ASST 1,0.8," 	45,677 "
2117,ARBORIST 1,1," 	58,835 "
3131,PKS MAINT WKR,1," 	52,704 "
3162,FACILITY MAINT WKR,1," 	56,285 "
3963,GARDENER-16  PT,0.5," 	27,631 "
3148,MAINT MECH 2,1," 	64,548 "
2115,PKS MAINT WKR,1," 	54,239 "
2731,ENGINEER 2-18,1," 	75,578 "
2446,FORESTRY OPR SUPV,1," 	74,970 "
3344,PKS MAINT WKR,1," 	57,309 "
2124,ELECTRICIAN FOREPERS,1," 	73,506 "
1765,MAINT MECH 1,1," 	62,726 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
3302,ARBORIST 2,1," 	56,912 "
1896,WELDER,1," 	66,226 "
2469,PKS OPR LDWKR,1," 	65,635 "
1446,OLBR FAC/VOL COORD,1," 	62,712 "
3427,PKS OPR LDWKR,1," 	54,028 "
2568,CLERK-TYP 2,1," 	48,015 "
3633,LANDSCAPE CONSTR SUP,1," 	74,865 "
3667,EQPT OPR 3,1," 	61,332 "
1019,CONSERV TECH,1," 	56,912 "
1672,ARBORIST 1,1," 	55,683 "
7386,PKS COM REL COORD,1," 	68,154 "
2979,BOTANICAL CENTER DIR,1," 	95,438 "
3089,PKS MAINT WKR,1," 	57,309 "
7659,PKS MAINT WKR,1," 	46,933 "
VACANT,VACANT,VACANT,VACANT
8116,PKS COMM SERVS MGR,1," 	86,078 "
2362,RECR SERVS COORD,1," 	73,439 "
3243,PKS FAC/MAINT SUPV,1," 	87,792 "
8315,PLAYGROUND TECH,1," 	54,028 "
8040,ARBORIST 1,1," 	49,807 "
3797,PKS MAINT WKR,1," 	51,169 "
3163,PKS MAINT WKR,1," 	57,309 "
2817,PKS EQUIP MECH 2,1," 	67,593 "
2223,CEMETERY OPRS LDWKR,1," 	55,254 "
4644,GOLF CLUB OPER SUPV 1,1," 	57,534 "
3589,PKS MAINT WKR,1," 	52,704 "
3541,PKS GEN SUPV,1," 	79,143 "
1157,PARKS SUPT,1," 	129,773 "
VACANT,VACANT,VACANT,VACANT
1631,GREENSKEEPER 3,1," 	63,861 "
5368,PKS MAINT WKR,1," 	48,449 "
3287,PKS OPER MGR,1," 	87,800 "
3997,PKS MAINT WKR,1," 	57,309 "
5500,PKS MAINT WKR,1," 	49,807 "
1088,GREENSKEEPER 1,1," 	56,912 "
8183,PUB WKS LEADWKR,1," 	49,807 "
2725,ARBORIST 2,1," 	61,332 "
1287,PKS MAINT MECHANIC,1," 	66,226 "
2038,ARBORIST 2,1," 	61,885 "
10320,ADMIN CLK 1,0.6," 	25,758 "
7812,ARBORIST 1,1," 	49,807 "
3364,PKS PLAN/DEV MGR,1," 	101,914 "
2865,GREENSKEEPER 2,1," 	62,155 "
3764,EQPT OPR 3,1," 	60,227 "
3399,PKS MAINT MECHANIC,1," 	66,226 "
2266,PUB WKS LEADWKR,1," 	61,885 "
2983,HORTICULTURIST,1," 	68,202 "
2815,PKS MAINT WKR,1," 	52,704 "
2924,STR MACH OPR 3,1," 	57,798 "
1783,STR MACH OPR 1,1," 	55,627 "
3637,STR MACH OPR 1,1," 	49,667 "
4568,STR MACH OPR 1,1," 	45,810 "
1424,STR MACH OPR 1,1," 	55,627 "
4062,STR MACH OPR 1,1," 	51,157 "
3531,PUB WKS GEN FORE-18,1," 	75,651 "
3771,STR SEW MAINT WKR 2,1," 	57,843 "
2445,OPERATING MAINT WKR,1," 	59,979 "
3213,STR MACH OPR 2,1," 	56,925 "
3175,STR MACH OPR 1,1," 	54,634 "
2499,STR MACH OPR 1,1," 	55,130 "
2498,STR MACH OPR 1,1," 	55,627 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
1419,STR MACH OPR 1,1," 	52,647 "
2814,PUB WKS GEN SUPV,1," 	87,792 "
3626,STR MACH OPR 2,1," 	55,387 "
1781,STR MACH OPR 2,1," 	56,925 "
1618,STR MACH OPR 1,1," 	52,647 "
8694,STR MACH OPR 1,1," 	43,891 "
2855,STR MACH OPR 3,1," 	59,433 "
VACANT,VACANT,VACANT,VACANT
1821,MAINT MECH 1,1," 	63,426 "
7660,STR MACH OPR 1,1," 	43,891 "
3513,ADMIN CLK 1,1," 	53,577 "
3236,STR MACH OPR 1,1," 	51,157 "
1761,STR MACH OPR 1,1," 	52,647 "
VACANT,VACANT,VACANT,VACANT
3836,STR MACH OPR 1,1," 	54,137 "
3205,STR MACH OPR 1,1," 	54,634 "
2921,STR MACH OPR 1,1," 	52,647 "
1663,STR MACH OPR 1,1," 	52,647 "
2017,STR MACH OPR 3,1," 	61,069 "
2843,STR MACH OPR 3,1," 	59,979 "
1321,STR MACH OPR 2,1," 	55,900 "
1050,STR MACH OPR 2,1," 	54,361 "
1185,STS PUB INFO/REC,1," 	70,199 "
3404,PUB WKS GEN FORE,1," 	74,970 "
3461,STR MACH OPR 2,1," 	52,823 "
4632,STR MACH OPR 1,1," 	47,410 "
2087,STR MACH OPR 1,1," 	52,647 "
2097,STR MACH OPR 3,1," 	60,524 "
5503,STR MACH OPR 1,1," 	45,810 "
3837,OPERATING MAINT WKR,1," 	58,888 "
8544,STR MACH OPR 1,1," 	43,891 "
2572,STR MACH OPR 1,1," 	55,627 "
5242,STR MACH OPR 1,1," 	49,667 "
2518,STR MACH OPR 3,1," 	58,888 "
2899,STR MACH OPR 1,1," 	51,157 "
1033,STR MACH OPR 2,1," 	57,438 "
1752,STREETS SUPT,1," 	127,391 "
VACANT,VACANT,VACANT,VACANT
3825,STR MACH OPR 1,1," 	51,157 "
3731,STR MACH OPR 3,1," 	60,524 "
2902,PUB WKS GEN FORE-18,1," 	73,607 "
2651,STR MACH OPR 1,1," 	55,627 "
8545,STR MACH OPR 1,1," 	43,891 "
3040,OPERATING ASST,1," 	66,239 "
3388,STS GEN SUPV,1," 	79,856 "
2884,STS OPER ANAL,1," 	80,737 "
2308,STR MACH OPR 1,1," 	52,647 "
1626,PUB WKS GEN FORE,1," 	71,562 "
2287,STR MACH OPR 1,1," 	52,647 "
7543,STR MACH OPR 1,1," 	45,810 "
3167,STR MACH OPR 3,1," 	61,069 "
2834,STR SEW MAINT WKR 1,1," 	49,483 "
2511,STR SEW MAINT WKR 2,1," 	54,659 "
7551,STR MACH OPR 1,1," 	43,891 "
3319,STR SEW MAINT WKR 2,1," 	57,312 "
3784,OPERATING MAINT WKR,1," 	59,433 "
1837,STR MACH OPR 1,1," 	51,157 "
VACANT,VACANT,VACANT,VACANT
1787,STR MACH OPR 3,1," 	60,524 "
1874,STR MACH OPR 1,1," 	51,157 "
5433,STR MACH OPR 1,1," 	45,810 "
3583,STR MACH OPR 1,1," 	55,130 "
3227,STR MACH OPR 2,1," 	56,413 "
7545,STR MACH OPR 1,1," 	43,891 "
1173,STR MACH OPR 1,1," 	51,157 "
2018,STR MACH OPR 1,1," 	55,130 "
3068,PUB WKS GEN FORE,1," 	75,651 "
2245,PUB WKS GEN FORE,1," 	74,970 "
2991,STR MACH OPR 3,1," 	61,069 "
2171,STR SEW MAINT WKR 2,1," 	53,067 "
5022,STR MACH OPR 1,1," 	47,410 "
3597,STR MACH OPR 2,1," 	55,900 "
3604,STR MACH OPR 2,1," 	56,413 "
3291,STR MACH OPR 1,1," 	52,647 "
2303,PUB WKS GEN FORE,1," 	76,333 "
2931,STR MACH OPR 1,1," 	52,647 "
3582,STR MACH OPR 2,1," 	57,438 "
1724,STR SEW MAINT WKR 2,1," 	58,904 "
3644,STR MACH OPR 2,1," 	54,361 "
5366,STR MACH OPR 1,1," 	47,410 "
4854,STR MACH OPR 1,1," 	45,810 "
4057,OPERATING MAINT WKR,1," 	61,069 "
2630,OPERATIONS CLERK,1," 	48,449 "
3623,OPERATING MAINT WKR,1," 	59,979 "
4803,STR MACH OPR 1,1," 	47,410 "
VACANT,VACANT,VACANT,VACANT
VACANT,VACANT,VACANT,VACANT
3475,STR MACH OPR 1,1," 	51,157 "
3110,STR MACH OPR 1,1," 	52,647 "
1049,ADMIN CLK 1-17,1," 	51,038 "
2602,STR MACH OPR 2,1," 	55,900 "
3082,STR MACH OPR 1,1," 	52,647 "
1778,STR MACH OPR 1,1," 	51,157 "
VACANT,VACANT,VACANT,VACANT
3564,STR MACH OPR 1,1," 	55,130 "
2774,PROCESS PLANT SUPV,1," 	79,856 "
3755,ASST STS SUPER,1," 	110,752 "
1300,STR SEW MAINT WKR 2,1," 	56,251 "
7736,STR MACH OPR 1,1," 	43,891 "
2016,STR MACH OPR 1,1," 	51,157 "
2986,STR MACH OPR 1,1," 	55,627 "
2528,STR MACH OPR 1,1," 	54,137 "
1284,STR MACH OPR 1,1," 	52,647 "
1640,STR MACH OPR 3,1," 	57,798 "
1779,STR MACH OPR 1,1," 	55,627 "
4483,STR MACH OPR 1,1," 	45,810 "
1585,STR MACH OPR 1,1," 	54,137 "
3249,STR MACH OPR 1,1," 	55,627 "
5444,STR MACH OPR 1,1," 	43,891 "
1563,STR MACH OPR 3,1," 	61,069 "
2691,STR MACH OPR 3,1," 	59,979 "
1591,STR MACH OPR 3,1," 	60,524 "
VACANT,VACANT,VACANT,VACANT
3481,STR MACH OPR 1,1," 	51,157 "
2457,STR MACH OPR 2,1," 	56,925 "
2176,PUB WKS GEN FORE,1," 	75,651 "
2419,ADMIN CLK 1,1," 	54,060 "
4121,STR MACH OPR 1,1," 	53,640 "
VACANT,VACANT,VACANT,VACANT
2672,PUB WKS GEN SUPV,1," 	87,792 "
2657,STR MACH OPR 1,1," 	55,627 "
3072,STR MACH OPR 2,1," 	55,387 "
2600,STR MACH OPR 1,1," 	55,627 "
3526,STR MACH OPR 3,1," 	61,069 "
2538,STR MACH OPR 1,1," 	54,634 "
2658,STR MACH OPR 3,1," 	61,069 "
2050,STR MACH OPR 1,1," 	51,157 "
3200,STR MACH OPR 2,1," 	54,361 "
VACANT,VACANT,VACANT,VACANT
2531,STR MACH OPR 1,1," 	55,130 "
3660,STS GEN SUPV,1," 	79,143 "
2826,STR MACH OPR 1,1," 	52,647 "
3016,STR MACH OPR 1,1," 	53,640 "
2877,STR MACH OPR 3,1," 	61,069 "
4013,STR MACH OPR 1,1," 	55,130 "
2330,STR MACH OPR 1,1," 	54,137 "
3375,STR MACH OPR 3,1," 	61,069 "
3272,STR MACH OPR 1,1," 	51,157 "
2732,STR MACH OPR 2,1," 	56,413 "
3790,STR MACH OPR 2,1," 	56,413 "
1757,MAINT MECH 1,1," 	63,426 "
1627,STR MACH OPR 2,1," 	52,823 "
VACANT,VACANT,VACANT,VACANT
3779,STR MACH OPR 1,1," 	51,157 "
2626,STR MACH OPR 1,1," 	55,130 "
2088,STR MACH OPR 3,1," 	61,069 "
1883,STR MACH OPR 2,1," 	52,823 "
2736,PUB WKS GEN FORE,1," 	75,651 "
1776,STR MACH OPR 1,1," 	54,137 "
1851,STR MACH OPR 1,1," 	54,634 "
2062,MAINT MECH 2,1," 	65,766 "
2290,WATERWKS OPR 2,1," 	68,202 "
1841,WATERWKS OPR 1,1," 	58,570 "
1540,PUB WKS MAINT WKR 2,1," 	55,774 "
10457,WATER QUALITY SAMPLER 1-16,1," 	45,806 "
VACANT,VACANT,VACANT,VACANT
5734,PROGRAM ASST 1,1," 	49,623 "
1026,WATER QUALITY MGR,1," 	100,026 "
2027,WATER UTIL MAINT SUP,1," 	81,581 "
2891,WATERWKS OPR 2,1," 	58,126 "
7342,PUB WKS MAINT WKR 2,1," 	45,806 "
3595,ADMIN CLK 2,1," 	54,038 "
3793,WATERWKS OPR 2,1," 	59,445 "
2262,ELECTRICIAN FOREPERS,1," 	79,929 "
VACANT,VACANT,VACANT,VACANT
3043,WATER UTIL OPR MGR,1," 	110,752 "
3778,MASTER MECHANIC,1," 	68,202 "
3726,ELECTRONIC MTN TECH,1," 	69,474 "
3609,PAINTER,1," 	54,414 "
3030,AUTO MECH,1," 	56,912 "
3230,DISPATCHER,1," 	56,733 "
2493,CROSS CON CTRL INSP,1," 	70,705 "
1315,WATERWKS OPR 1,1," 	61,885 "
1955,WATERWKS OPR 2,1," 	68,202 "
3274,EQPT OPR 1,1," 	52,704 "
9197,EQPT OPR 1,1," 	48,449 "
3874,WATERWKS OPR 2,1," 	68,202 "
VACANT,VACANT,VACANT,VACANT
2471,MAINT MECH 2,1," 	67,593 "
3046,CROSS CON CTRL INSP,1," 	70,074 "
2380,MAINT MECH 2,1," 	64,548 "
10245,PUB WKS MAINT WKR 2,1," 	45,806 "
1051,PUB WKS MAINT WKR 2,1," 	52,704 "
2359,EQPT OPR 1,1," 	52,704 "
1625,WATER UTIL OPR LDWKR,1," 	66,375 "
2695,WATER UTIL OPR LDWKR,1," 	65,766 "
9198,EQPT OPR 1,1," 	48,449 "
3833,EQPT OPR 1,1," 	54,239 "
3459,PUB WKS GEN SUPV,1," 	87,008 "
1583,WATER ONE CALL COORD,1," 	60,511 "
3050,EQPT OPR 3,1," 	61,885 "
9229,EQPT OPR 1,1," 	48,449 "
1832,EQPT OPR 3,1," 	56,912 "
VACANT,VACANT,VACANT,VACANT
1345,PUB WKS MAINT WKR 3,1," 	59,971 "
3350,PUB WKS MAINT WKR 3,1," 	59,431 "
10471,PUB WKS MAINT WKR 1,1," 	44,304 "
6000,EQPT OPR 1-16,1," 	51,169 "
2543,WATER UTIL OPR LDWKR,1," 	59,445 "
1586,WATER UTIL OPR LDWKR,1," 	67,593 "
2242,PUB WKS GEN FORE,1," 	75,651 "
1962,PUB WKS GEN FORE,1," 	76,333 "
3176,EQPT OPR 3,1," 	61,332 "
3680,EQPT OPR 1,1," 	52,704 "
2494,EQPT OPR 3,1," 	60,227 "
VACANT,VACANT,VACANT,VACANT
3181,WATER HYDRANT INSPEC,1," 	61,885 "
3155,WATER HYDRANT INSPEC,1," 	61,332 "
5954,EQPT OPR 1,1," 	51,169 "
3260,EQPT OPR 3,1," 	59,675 "
5953,PUB WKS MAINT WKR 1,1," 	48,449 "
1488,WATER ONE CALL COORD,1," 	57,270 "
1812,WATER UTIL OPR LDWKR,1," 	66,984 "
3752,WATER QUAL SAMPLER 3,1," 	54,107 "
4045,PRINCIPAL ENGR WATER,1," 	113,070 "
2309,CROSS CON CTRL INSP,1," 	70,705 "
2958,FIELD SERV LDWKR 2,1," 	68,202 "
2366,ENGINEER 4,1," 	91,243 "
5001,FIELD SERV REP 2,1," 	52,531 "
2337,ACCT CLERK 3-20,1," 	52,508 "
3886,OPERATIONS CLERK,1," 	55,683 "
1090,WATER UTIL GEN MGR,1," 	142,241 "
4177,WATER COMM OUTREACH,1," 	61,888 "
6368,ENGR PROG SPEC 1,1," 	63,129 "
2310,WATER CONSTR SU,1," 	73,439 "
4003,ENGR AIDE 1,1," 	55,649 "
VACANT,VACANT,VACANT,VACANT
4941,WATER CIVIL TECH 2,1," 	55,254 "
3036,FIELD SERV REP 1,1," 	54,239 "
3866,WATER PIO,1," 	73,439 "
5951,ACCOUNTANT 4,1," 	86,078 "
5982,WATER CIVIL TECH 2,1," 	57,023 "
3619,FIELD SERV ANAL,1," 	65,043 "
3279,FIELD SERV REP 2,1," 	59,431 "
3015,PROGRAM ASST 1,1," 	56,587 "
2868,FIELD SERV ANAL,1," 	66,226 "
2450,ADMIN CLK 1,1," 	54,060 "
2597,ADMIN CLK 1,1," 	52,129 "
7845,ADMIN CLK 1,1," 	45,543 "
VACANT,VACANT,VACANT,VACANT
8086,WATER UTIL ACCT/COMP,1," 	53,820 "
1609,FIN OPER LDWKR,1," 	58,088 "
1129,COMP MAP/GIS COORD,1," 	91,837 "
1716,WATER UTIL FIN MGR,1," 	110,752 "
5887,SURVEYOR 2,1," 	71,300 "
1384,ACCOUNTANT 2,1," 	75,578 "
2798,FIELD SERV REP 2,1," 	60,511 "
1932,FIELD SERV REP 3,1," 	63,866 "
1698,WATER CIVIL TECH 3,1," 	65,023 "
1948,FIRE APPARATUS ENGR,1.00," 	76,600 "
3687,FIREFIGHTER PARAMEDI,1.00," 	76,984 "
2804,FIRE LIEUTENANT,1.00," 	87,268 "
2440,FIRE LIEUTENANT,1.00," 	87,950 "
2103,DIVISION FIRE CHIEF,1.00," 	107,301 "
1342,FIRE LIEUTENANT,1.00," 	86,586 "
2295,FIRE LIEUTENANT,1.00," 	87,950 "
2167,FIRE LIEUTENANT,1.00," 	87,950 "
4139,FIRE APPARATUS ENGR,1.00," 	74,732 "
2365,FIRE LIEUTENANT,1.00," 	87,949 "
2138,DIVISION FIRE CHIEF,1.00," 	108,276 "
3850,FIRE APPARATUS ENGR,1.00," 	78,468 "
2998,FIRE APPARATUS ENGR,1.00," 	80,336 "
1140,FIRE APPARATUS ENGR,1.00," 	80,336 "
1785,FIRE APPARATUS ENGR,1.00," 	80,336 "
6783,FIREFIGHTER PARAMEDI,1.00," 	63,281 "
3457,FIRE APPARATUS ENGR,1.00," 	69,749 "
3317,FIRE APPARATUS ENGR,1.00," 	77,222 "
3805,FIRE LIEUTENANT,1.00," 	83,177 "
1422,FIRE APPARATUS ENGR,1.00," 	76,600 "
2751,FIREFIGHTER PARAMEDI,1.00," 	75,027 "
1317,FIREFIGHTER PARAMEDI,1.00," 	76,984 "
VACANT,VACANT,VACANT,VACANT
3201,FIREFIGHTER PARAMEDI,1.00," 	77,278 "
4000,FIRE APPARATUS ENGR,1.00," 	69,749 "
2388,FIRE APPARATUS ENGR,1.00," 	77,222 "
3094,FIRE APPARATUS ENGR,1.00," 	73,486 "
1809,FIRE APPARATUS ENGR,1.00," 	79,713 "
1843,FIRE APPARATUS ENGR,1.00," 	80,336 "
1849,FIRE LIEUTENANT,1.00," 	85,904 "
2505,FIRE APPARATUS ENGR,1.00," 	76,984 "
3556,FIRE APPARATUS ENGR,1.00," 	79,713 "
3675,FIRE LIEUTENANT,1.00," 	83,859 "
6719,FIREFIGHTER,1.00," 	57,528 "
1844,FIRE LIEUTENANT,1.00," 	86,586 "
VACANT,VACANT,VACANT,VACANT
1792,FIREFIGHTER,1.00," 	72,952 "
1098,FIREFIGHTER PARAMEDI,1.00," 	81,551 "
2218,FIREFIGHTER,1.00," 	61,090 "
2025,FIREFIGHTER,1.00," 	70,580 "
2057,FIREFIGHTER,1.00," 	69,987 "
2943,FIREFIGHTER,1.00," 	71,766 "
3096,FIREFIGHTER PARAMEDI,1.00," 	78,941 "
1836,FIREFIGHTER PARAMEDI,1.00," 	73,070 "
2853,DIVISION FIRE CHIEF,1.00," 	108,276 "
VACANT,VACANT,VACANT,VACANT
2399,FIREFIGHTER PARAMEDI,1.00," 	75,027 "
VACANT,VACANT,VACANT,VACANT
2636,FIRE APPARATUS ENGR,1.00," 	79,713 "
3056,FIREFIGHTER PARAMEDI,1.00," 	85,466 "
3070,FIRE APPARATUS ENGR,1.00," 	77,222 "
3890,FIREFIGHTER,1.00," 	75,918 "
3353,FIREFIGHTER,1.00," 	78,883 "
4037,FIREFIGHTER,1.00," 	73,545 "
1395,FIREFIGHTER PARAMEDI,1.00," 	75,027 "
2066,FIREFIGHTER PARAMEDI,1.00," 	80,899 "
1219,FIREFIGHTER,1.00," 	67,022 "
6782,FIREFIGHTER,1.00," 	57,528 "
3402,FIREFIGHTER,1.00," 	75,918 "
3095,FIREFIGHTER PARAMEDI,1.00," 	81,310 "
2007,FIREFIGHTER,1.00," 	80,898 "
2533,FIREFIGHTER,1.00," 	61,090 "
3555,FIRE APPARATUS ENGR,1.00," 	79,594 "
1260,FIREFIGHTER,1.00," 	71,766 "
2837,FIRE APPARATUS ENGR,1.00," 	76,600 "
2464,FIRE APPARATUS ENGR,1.00," 	76,600 "
3099,FIRE APPARATUS ENGR,1.00," 	75,977 "
1777,FIRE LIEUTENANT,1.00," 	88,631 "
2140,FIREFIGHTER PARAMEDI,1.00," 	84,161 "
2964,FIREFIGHTER PARAMEDI,1.00," 	88,030 "
2329,FIRE LIEUTENANT,1.00," 	90,677 "
2317,FIREFIGHTER PARAMEDI,1.00," 	83,326 "
3939,FIRE APPARATUS ENGR,1.00," 	77,222 "
1130,FIRE LIEUTENANT,1.00," 	86,586 "
3933,FIRE APPARATUS ENGR,1.00," 	74,732 "
2149,FIRE LIEUTENANT,1.00," 	77,041 "
3453,FIREFIGHTER PARAMEDI,1.00," 	69,214 "
2582,FIREFIGHTER,1.00," 	74,139 "
2830,FIRE APPARATUS ENGR,1.00," 	77,845 "
1632,FIRE APPARATUS ENGR,1.00," 	74,732 "
4042,FIREFIGHTER,1.00," 	68,208 "
2523,FIREFIGHTER,1.00," 	73,545 "
1255,FIREFIGHTER,1.00," 	75,325 "
3132,FIREFIGHTER PARAMEDI,1.00," 	75,679 "
1099,DIVISION FIRE CHIEF,1.00," 	109,252 "
4060,FIREFIGHTER PARAMEDI,1.00," 	81,310 "
1701,FIRE LIEUTENANT,1.00," 	88,631 "
3116,FIRE APPARATUS ENGR,1.00," 	71,618 "
1638,FIREFIGHTER,1.00," 	71,766 "
1928,FIRE LIEUTENANT,1.00," 	87,950 "
2338,FIRE LIEUTENANT,1.00," 	87,950 "
3557,FIREFIGHTER,1.00," 	73,842 "
3894,FIRE LIEUTENANT,1.00," 	86,586 "
1830,FIREFIGHTER,1.00," 	77,697 "
1584,FIREFIGHTER,1.00," 	76,511 "
2542,FIREFIGHTER PARAMEDI,1.00," 	78,941 "
3248,FIRE LIEUTENANT,1.00," 	86,586 "
1137,FIREFIGHTER PARAMEDI,1.00," 	76,984 "
3801,FIREFIGHTER,1.00," 	64,649 "
VACANT,VACANT,VACANT,VACANT
2503,FIREFIGHTER,1.00," 	62,870 "
2750,FIREFIGHTER PARAMEDI,1.00," 	73,070 "
6771,FIREFIGHTER PARAMEDI,1.00," 	63,281 "
2397,FIREFIGHTER PARAMEDI,1.00," 	73,070 "
3010,FIREFIGHTER PARAMEDI,1.00," 	82,203 "
3552,FIRE CHIEF-ASST,1.00," 	127,856 "
1864,FIREFIGHTER PARAMEDI,1.00," 	75,353 "
1497,FIREFIGHTER,1.00," 	73,545 "
3423,FIRE LIEUTENANT,1.00," 	87,950 "
1496,FIREFIGHTER,1.00," 	67,615 "
2324,FIRE APPARATUS ENGR,1.00," 	76,600 "
VACANT,VACANT,VACANT,VACANT
2340,FIRE LIEUTENANT,1.00," 	85,222 "
2646,FIRE APPARATUS ENGR,1.00," 	84,696 "
3127,FIREFIGHTER,1.00," 	64,649 "
2887,FIREFIGHTER PARAMEDI,1.00," 	87,358 "
3468,FIREFIGHTER,1.00," 	55,576 "
2333,FIREFIGHTER PARAMEDI,1.00," 	88,030 "
3436,FIREFIGHTER,1.00," 	74,139 "
1240,FIREFIGHTER,1.00," 	74,139 "
1358,FIREFIGHTER,1.00," 	69,987 "
3838,FIRE LIEUTENANT,1.00," 	88,631 "
4115,FIRE LIEUTENANT,1.00," 	80,450 "
3832,FIRE APPARATUS ENGR,1.00," 	75,354 "
4183,FIREFIGHTER,1.00," 	69,987 "
1091,FIRE APPARATUS ENGR,1.00," 	77,222 "
3914,FIREFIGHTER,1.00," 	74,139 "
3183,FIREFIGHTER,1.00," 	69,394 "
2851,FIRE APPARATUS ENGR,1.00," 	76,600 "
1150,FIRE APPARATUS ENGR,1.00," 	80,336 "
1294,FIRE LIEUTENANT,1.00," 	88,631 "
2738,FIRE LIEUTENANT,1.00," 	87,268 "
2512,FIREFIGHTER PARAMEDI,1.00," 	85,466 "
1566,FIRE APPARATUS ENGR,1.00," 	80,336 "
