Employee #,Filled Position Description,Filled FTE Percent,Current Salary
4088,LIBRARY ASST 1,1," 	46,303 "
2797,CUSTODIAL WORKER 3,1," 	56,071 "
2857,CLERK-TYP 2,0.7," 	33,919 "
3925,LIBRARY ASST 1,1," 	52,304 "
10574,MKTG/COMMUN SPEC,1," 	53,912 "
3061,PROG ASST 1-32,1," 	53,784 "
4015,LIBRARIAN 2,1," 	70,396 "
3993,ADMIN CLK 1,0.7," 	36,620 "
9124,LIBRARIAN 1-33 PT,0.8," 	43,102 "
VACANT,VACANT,VACANT,VACANT
3676,LIBRARIAN 1-33,1," 	58,680 "
3639,LIBRARIAN 2,1," 	73,003 "
3749,PROG ASST 1,1," 	56,828 "
3257,PLAN DEVELOP DIR OF,1," 	148,054 "
10235,COM DEV TECH 2,1," 	52,332 "
1036,ADMIN CLK 1,1," 	52,129 "
1558,GRANTS ADMIN 4,0.5," 	48,266 "
10372,COM DEV SPEC 2-18,1," 	65,222 "
1069,GRANTS ADMIN 2,1," 	79,143 "
1005,WORD PROC OPR 2,1," 	51,798 "
2156,GRAPHICS TECH,0.75," 	38,356 "
10319,CLERK-TYPT 1-20 PT,0.6," 	21,060 "
1166,GRANTS ADMIN 2,1," 	73,439 "
7837,WORD PROC OPR 2-20,1," 	45,543 "
VACANT,VACANT,VACANT,VACANT
3442,PLANNER-PRINCIPAL,1," 	94,365 "
1958,PROGRAM ASST 1,1," 	57,097 "
4046,ADMIN CLK 1,1," 	54,060 "
1743,BUSINESS DEV SPEC 2,1," 	73,439 "
3618,PLAN TECH,1," 	66,968 "
VACANT,VACANT,VACANT,VACANT
3770,GIS SPECIALIST,1," 	68,154 "
5713,PLANNER 2,1," 	71,300 "
1046,PLANNER 3,1," 	84,656 "
1151,PLANNING DIV DIR,1," 	115,032 "
VACANT,VACANT,VACANT,VACANT
9123,PLANNER 1-18,1," 	60,085 "
4020,PLANNER 3,1," 	80,737 "
1549,PLANNER 2-18,1," 	77,004 "
4023,MAD ARTS PROG ADMIN,1," 	83,088 "
2802,PLANNER 4,1," 	96,408 "
2433,PROGRAM ASST 2,1," 	57,097 "
1607,PLANNER 3,1," 	84,656 "
3455,PLANNER-PRINCIPAL,1," 	100,026 "
5362,CODE ENFORC OFF 3-16,1," 	68,130 "
3278,CODE ENFC OFF 2-16,1," 	62,721 "
1887,CODE ENFC OFF 2-16,1," 	65,023 "
1892,BLDG INSPECT DIV DIR,1," 	126,442 "
2318,CUSTODIAL WKR 2,1," 	54,263 "
4111,ARCHITECT 4,1," 	102,465 "
2901,ZONING ADMIN,1," 	100,026 "
2345,CODE ENFORC OFF 3,1," 	73,179 "
7677,ELEC/HEAT INSPECTOR,1," 	65,541 "
VACANT,VACANT,VACANT,VACANT
3853,ADMIN CLK 1,1," 	53,577 "
10250,CODE ENFC OFF 1-16,1," 	51,169 "
1142,ENGINEER 3,1," 	84,656 "
2971,ELEC/HEAT INSPECTOR,1," 	79,574 "
1649,HSG INSPECTION SUPV,1," 	88,661 "
2133,CODE ENFORC OFF 3,1," 	78,863 "
2104,MAINT MECH 2,1," 	68,202 "
VACANT,VACANT,VACANT,VACANT
2840,INFORMATION CLERK,1," 	48,279 "
VACANT,VACANT,VACANT,VACANT
2793,ELEC/HEAT INSPECTOR,1," 	75,311 "
3178,CUSTODIAL WKR 2,1," 	51,356 "
