ORG,OBJECT,PROJECT,ACCOUNT,DESCRIPTION,YEAR,PER,JOURNAL,EFF DATE,SRC,T,REF1,PO/REF2,REF3,REFERENCE,AMOUNT
44330,54250,00000,1100-40-44-443-4430-0000-00000-00000-54250-00000,ST SN PLOW GRNDS IMPR,2018,12,"4,691",12/30/2018,API,1,169847,,449304,6023,"28,874.68"
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2018,12,"4,418",12/30/2018,GEN,1,,,,FLT DPN CH,"-20,348.05"
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2018,12,"4,095",12/30/2018,GNI,1,,,,FS CHRGS,"72,587.80"
44331,57141,00000,1100-40-44-443-4431-0000-00000-00000-57141-00000,ST SN REMV ID CHRG FS,2018,12,"4,095",12/30/2018,GNI,1,,,,FS CHRGS,259.64
44332,57141,00000,1100-40-44-443-4432-0000-00000-00000-57141-00000,ST SN CROS ID CHRG FS,2018,12,"4,095",12/30/2018,GNI,1,,,,FS CHRGS,"1,754.39"
44333,57141,00000,1100-40-44-443-4433-0000-00000-00000-57141-00000,ST SN BARR ID CHRG FS,2018,12,"4,095",12/30/2018,GNI,1,,,,FS CHRGS,"1,491.92"
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2018,12,"4,031",12/30/2018,API,1,065037,,444480,5674,12.80
44301,52410,00000,1100-40-44-443-4401-0000-00000-00000-52410-00000,SW ADM HLTH INS B,2018,12,"3,978",12/31/2018,GNI,1,PPHLTH,,,PP HLTH IN,"-5,871.64"
44330,52410,00000,1100-40-44-443-4430-0000-00000-00000-52410-00000,ST SN PLOW HLTH INS B,2018,12,"3,978",12/31/2018,GNI,1,PPHLTH,,,PP HLTH IN,"-23,606.51"
44330,52410,00000,1100-40-44-443-4430-0000-00000-00000-52410-00000,ST SN PLOW HLTH INS B,2018,12,"3,978",12/31/2018,GNI,1,PPHLTH,,,PP HLTH IN,-210.08
