ORG,OBJECT,PROJECT,ACCOUNT,DESCRIPTION,YEAR,PER,JOURNAL,EFF DATE,SRC,T,REF1,PO/REF2,REF3,REFERENCE,AMOUNT
44330,43190,00000,1100-40-44-443-4430-0000-00000-00000-43190-00000,ST SN PLOW MIS CHRGS,2017,12,"5,946",12/31/2017,GNI,1,,REVERSE,IN 2018,ACCRU RVNU,"-3,225.00"
44330,54250,00000,1100-40-44-443-4430-0000-00000-00000-54250-00000,ST SN PLOW GRNDS IMPR,2017,12,"4,929",12/30/2017,APM,1,169847,,331273,ACCOUNTS,730.00
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2017,12,"4,757",12/30/2017,API,1,065037,,333266,7751,12.71
44330,54250,00000,1100-40-44-443-4430-0000-00000-00000-54250-00000,ST SN PLOW GRNDS IMPR,2017,12,"4,453",12/30/2017,GEN,1,2017,CITYWIDE,CONT 7902,CONCRETE,109.50
44330,54210,00000,1100-40-44-443-4430-0000-00000-00000-54210-00000,ST SN PLOW BUILD IMPR,2017,12,"4,360",12/30/2017,CRP,1,40,40003440,BDGR PLMBG,WO 43851,780.00
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2017,12,"4,354",12/30/2017,GEN,1,,AGCY CHGS,,FLT DEPRN,"488,979.83"
44301,53120,00000,1100-40-44-443-4401-0000-00000-00000-53120-00000,SW ADM COPY PRINT,2017,12,"4,331",12/30/2017,API,1,604164,,331486,7537,0.85
44330,53120,00000,1100-40-44-443-4430-0000-00000-00000-53120-00000,ST SN PLOW COPY PRINT,2017,12,"4,331",12/30/2017,API,1,604164,,331554,7537,3.22
44330,57141,00000,1100-40-44-443-4430-0000-00000-00000-57141-00000,ST SN PLOW ID CHRG FS,2017,12,"4,316",12/30/2017,GEN,1,,AGCY CHGS,,FLT IN BLL,"84,077.76"
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2017,12,"4,198",12/31/2017,GNI,1,,INTER-D,STREETS DIV,SALT-SAND,"-1,639.50"
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2017,12,"4,198",12/31/2017,GNI,1,,INTER-D,STREETS DIV,SALT-SAND,"-18,055.50"
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2017,12,"4,198",12/31/2017,GNI,1,,INTER-D,STREETS DIV,SALT-SAND,825.00
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2017,12,"4,198",12/31/2017,GNI,1,,INTER-D,STREETS DIV,SALT-SAND,"-1,350.00"
44330,53240,00000,1100-40-44-443-4430-0000-00000-00000-53240-00000,ST SN PLOW SNOW SUP,2017,12,"4,198",12/31/2017,GNI,1,,INTER-D,STREETS DIV,SALT-SAND,-450.00
44301,54115,00000,1100-40-44-443-4401-0000-00000-00000-54115-00000,SW ADM STORMWATER,2017,12,"4,127",12/30/2017,API,1,065037,,331135,7466,118.59
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2017,12,"4,127",12/30/2017,API,1,065037,,331141,7466,6.40
44301,54113,00000,1100-40-44-443-4401-0000-00000-00000-54113-00000,SW ADM WATER,2017,12,"4,127",12/30/2017,API,1,065037,,331147,7466,4.00
44301,53120,00000,1100-40-44-443-4401-0000-00000-00000-53120-00000,SW ADM COPY PRINT,2017,12,"4,022",12/15/2017,API,1,600632,,327896,7363,102.56
44301,53120,00000,1100-40-44-443-4401-0000-00000-00000-53120-00000,SW ADM COPY PRINT,2017,12,"4,021",12/15/2017,API,1,600632,,327895,7362,125.83
44301,53150,00000,1100-40-44-443-4401-0000-00000-00000-53150-00000,SW ADM POSTAGE,2017,12,"4,020",12/15/2017,API,1,600632,,327894,7361,186.88
